project_name,tax_id,commodity,location,region,concession_size,production_vol,year,lat,long
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,566285.0,2011,6.74308,-1.562
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,566285.0,2012,6.74308,-1.562
Newmont Ghana Gold Ltd,516G000001,Gold,Kenyase,Brong Ahafo,464.93,570202.35,2013,6.74308,-1.562
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2006,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2007,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2008,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2009,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2010,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2011,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,,2012,6.33856,-0.99564
Newmont Golden Ridge Ltd 1,,Gold,Abirem,Eastern Region,62.75,129211.0,2013,6.33856,-0.99564
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2006,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2007,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2008,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2009,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2010,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,,2011,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,193852.0,2012,5.9602024,-1.8951464
Perseus Mining(Ghana)Ltd,624V003018,Gold,Ayanfuri,Central ,49.2,169367.0,2013,5.9602024,-1.8951464
Central African Gold,,Gold,Bibiani,Western ,,42213.0,2006,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,23918.0,2007,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,24722.0,2008,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,,2009,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,,2010,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,,2011,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,,2012,6.452944,-2.3149591
Central African Gold,,Gold,Bibiani,Western ,,,2013,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2006,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2007,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2008,6.452944,-2.3149591
Noble Mining Ltd,524V018617,Gold,Bibiani,Western,49.0,,2009,6.452944,-2.3149591
